punkt_id;kartleggingsenhet
ID0084_26;T4-C-1
ID0084_15;T4-C-1
ID0084_24;T4-C-1
ID0084_13;T4-C-1
ID0084_11;T2-C-1
ID0084_31;T4-C-1
ID0084_33;T4-C-1
ID0084_51;T2-C-1
ID0084_42;V1-C-2
ID0084_62;T4-C-1
ID0085_53;T14-C-1
ID0085_42;T14-C-1
ID0085_31;T14-C-1
ID0085_35;T3-C-4
ID0085_33;T3-C-2
ID0085_22;T1-C-3
ID0085_13;T3-C-4
ID0085_15;T3-C-4
ID0085_24;T3-C-4
ID0085_11;T3-C-2
ID0085_44;V1-C-6
ID0085_55;T3-C-5
ID0085_62;T13-C-2
ID0085_51;T3-C-5
ID0085_64;T3-C-4
ID0085_66;T3-C-4
ID0085_46;T3-C-5
ID0085_26;V1-C-6
ID0086_55;T14-C-1
ID0086_66;T7-C-1
ID0086_64;T27-C-1
ID0086_62;T7-C-1
ID0086_53;T14-C-1
ID0086_42;T14-C-1
ID0086_33;T1-C-1
ID0086_22;T7-C-3
ID0086_11;T7-C-1
ID0086_13;T7-C-1
ID0086_24;T27-C-1
ID0086_46;T14-C-1
ID0086_44;T14-C-1
ID0086_15;T27-C-1
ID0086_35;T27-C-1
ID0086_26;ikke_kartlagt
ID0086_31;ikke_kartlagt
ID0086_51;ikke_kartlagt
ID0091_64;V1-C-1
ID0091_66;L4-1
ID0091_55;T3-C-2
ID0091_13;V1-C-1
ID0091_42;T3-C-1
ID0091_11;T3-C-1
ID0091_53;T3-C-1
ID0091_33;T3-C-2
ID0091_31;T3-C-2
ID0091_22;V1-C-1
ID0091_51;T3-C-2
ID0091_62;T3-C-2
ID0091_44;T3-C-2
ID0091_46;T3-C-2
ID0091_35;V1-C-5
ID0091_24;T3-C-2
ID0091_26;T3-C-2
ID0091_15;L4-1
ID0099_62;T4-C-1
ID0099_51;T4-C-1
ID0099_33;T4-C-1
ID0099_42;V1-C-1
ID0099_31;T4-C-1
ID0099_11;V2-C-1
ID0099_64;T4-C-1
ID0099_66;T4-C-1
ID0099_53;T4-C-1
ID0099_24;T4-C-5
ID0099_35;T4-C-1
ID0099_13;T4-C-1
ID0099_26;T4-C-1
ID0099_55;T4-C-1
ID0099_46;T32-C-3
ID0099_44;T4-C-1
ID0099_15;T4-C-1
ID0099_22;T13-C-1
ID0100_64;T3-C-2
ID0100_46;T3-C-2
ID0100_62;T3-C-3
ID0100_66;T3-C-2
ID0100_53;T1-C-2
ID0100_51;V1-C-1
ID0100_13;T3-C-2
ID0100_24;V1-C-5
ID0100_22;T3-C-2
ID0100_33;T3-C-2
ID0100_35;T3-C-2
ID0100_26;T1-C-2
ID0100_15;T3-C-2
ID0100_11;T3-C-2
ID0100_44;V1-C-5
ID0100_42;V1-C-6
ID0100_55;T3-C-2
ID0100_31;T3-C-2
ID0103_35;T3-C-3
ID0103_64;V1-C-1
ID0103_66;V1-C-1
ID0103_55;V1-C-1
ID0103_44;V1-C-1
ID0103_46;V1-C-1
ID0103_24;V1-C-1
ID0103_26;T3-C-3
ID0103_15;T3-C-3
ID0103_51;T3-C-3
ID0103_31;T3-C-3
ID0103_62;V1-C-2
ID0103_53;V1-C-2
ID0103_42;V1-C-2
ID0103_33;V1-C-2
ID0103_22;V1-C-2
ID0103_11;T3-C-3
ID0103_13;V1-C-2
ID0108_55;V1-C-6
ID0108_46;T32-C-1
ID0108_66;T31-C-1
ID0108_64;T31-C-1
ID0108_62;T31-C-1
ID0108_53;T31-C-2
ID0108_51;V1-C-3
ID0108_42;T31-C-1
ID0108_44;T31-C-3
ID0108_26;T32-C-9
ID0108_35;T31-C-1
ID0108_33;T31-C-2
ID0108_24;T31-C-2
ID0108_15;T31-C-1
ID0108_31;T31-C-1
ID0108_22;T31-C-2
ID0108_13;T31-C-2
ID0108_11;T31-C-2
ID0111_15;T3-C-2
ID0111_13;V1-C-5
ID0111_11;V1-C-5
ID0111_26;V1-C-5
ID0111_33;T3-C-2
ID0111_35;V1-C-1
ID0111_42;T3-C-2
ID0111_44;V1-C-6
ID0111_46;T3-C-3
ID0111_55;T3-C-2
ID0111_62;T3-C-2
ID0111_64;V1-C-1
ID0111_66;V1-C-2
ID0111_53;T3-C-2
ID0111_22;T14
ID0111_24;T3-C-3
ID0111_31;T3-C-2
ID0111_51;T3-C-2
ID0114_66;V1-C-5
ID0114_62;T4-C-5
ID0114_46;T4-C-9
ID0114_44;V2-C-1
ID0114_11;V1-C-5
ID0114_24;V2-C-1
ID0114_33;V2-C-1
ID0114_26;T4-C-5
ID0114_22;ikke_kartlagt
ID0114_31;ikke_kartlagt
ID0114_13;V1-C-5
ID0114_35;T4-C-1
ID0114_64;V2-C-1
ID0114_55;V1-C-1
ID0114_53;T4-C-1
ID0114_51;V1-C-5
ID0114_42;T4-C-5
ID0114_15;T4-C-5
ID0115_26;T3-C-5
ID0115_22;T13-C-4
ID0115_24;T3-C-2
ID0115_11;T16-C-1
ID0115_15;T3-C-2
ID0115_13;V1-C-5
ID0115_33;T3-C-2
ID0115_35;T3-C-2
ID0115_31;T16-C-2
ID0115_42;T3-C-1
ID0115_44;T3-C-1
ID0115_46;T3-C-1
ID0115_51;T3-C-1
ID0115_53;T3-C-4
ID0115_55;T3-C-2
ID0115_62;T3-C-5
ID0115_64;T3-C-4
ID0115_66;T3-C-4
ID0116_26;T4-C-1
ID0116_35;V1-C-1
ID0116_46;T4-C-2
ID0116_55;T4-C-1
ID0116_66;T4-C-2
ID0116_64;T4-C-1
ID0116_62;T41-C-1
ID0116_53;T41-C-1
ID0116_44;T38-C-1
ID0116_24;T38-C-1
ID0116_15;T38-C-1
ID0116_33;T41
ID0116_24;T38-C-1
ID0116_42;ikke_kartlagt
ID0116_11;ikke_kartlagt
ID0116_22;ikke_kartlagt
ID0116_31;ikke_kartlagt
ID0116_51;ikke_kartlagt
ID0119_66;T14-C-1
ID0119_64;T3-C-2
ID0119_53;T7-C-2
ID0119_51;T3-C-2
ID0119_62;T3-C-3
ID0119_55;T3-C-1
ID0119_46;T3-C-3
ID0119_15;T3-C-1
ID0119_26;T3-C-2
ID0119_44;T14-C-2
ID0119_42;T3-C-4
ID0119_35;T3-C-3
ID0119_31;T14-C-1
ID0119_11;T3-C-5
ID0119_13;T3-C-2
ID0119_22;T14-C-1
ID0119_33;T14-C-1
ID0119_24;T14-C-1
ID0120_62;T7-C-2
ID0120_53;T7-C-2
ID0120_51;T14-C-1
ID0120_42;T7-C-12
ID0120_31;T27-C-1
ID0120_22;T7-C-2
ID0120_11;T7-C-2
ID0120_13;T7-C-2
ID0120_24;T7-C-2
ID0120_33;T7-C-12
ID0120_44;T3-C-3
ID0120_35;T3-C-2
ID0120_15;T7-C-2
ID0120_26;T3-C-2
ID0120_46;T7-C-3
ID0120_66;T3-C-3
ID0120_55;T3-C-4
ID0120_64;T7-C-3
ID0124_66;T4-C-1
ID0124_55;T4-C-5
ID0124_64;T4-C-1
ID0124_53;V2-C-1
ID0124_62;T4-C-3
ID0124_51;T2-C-1
ID0124_42;T4-C-1
ID0124_33;V2-C-1
ID0124_31;T4-C-1
ID0124_22;T4-C-1
ID0124_11;T4-C-1
ID0124_13;T4-C-1
ID0124_24;V2-C-1
ID0124_15;V2-C-1
ID0124_26;T4-C-1
ID0124_35;T2-C-1
ID0124_44;T4-C-5
ID0124_46;T4-C-2
ID0128_66;V1-C-5
ID0128_55;T4-C-1
ID0128_64;V2-C-1
ID0128_53;T4-C-1
ID0128_62;T4-C-17
ID0128_51;T4-C-19
ID0128_31;V3
ID0128_42;T4-C-13
ID0128_33;V3-C-2
ID0128_44;T4-C-5
ID0128_35;T4-C-5
ID0128_46;T4-C-9
ID0128_26;T4-C-5
ID0128_15;T4-C-17
ID0128_24;T4-C-5
ID0128_13;T4-C-1
ID0128_22;T45-C-3
ID0128_11;T45-C-3
ID0131_13;T4-C-5
ID0131_15;T4-C-9
ID0131_35;T4-C-9
ID0131_33;T4-C-9
ID0131_53;T4-C-5
ID0131_51;T4-C-9
ID0131_55;T4-C-9
ID0131_31;T4-C-1
ID0131_11;T4-C-1
ID0131_22;T4-C-5
ID0131_24;T4-C-9
ID0131_42;T4-C-1
ID0131_26;T4-C-9
ID0131_46;T4-C-5
ID0131_44;T4-C-9
ID0131_62;T4-C-9
ID0131_64;T4-C-9
ID0131_66;T4-C-5
ID0134_42;T3-C-2
ID0134_31;T3-C-2
ID0134_11;T3-C-2
ID0134_22;T7-C-2
ID0134_33;T3-C-2
ID0134_44;T3-C-2
ID0134_35;T3-C-2
ID0134_24;T3-C-2
ID0134_13;T3-C-3
ID0134_15;T3-C-1
ID0134_26;T3-C-2
ID0134_46;T32-C-2
ID0134_55;T32-C-2
ID0134_66;T3-C-2
ID0134_64;T3-C-2
ID0134_53;T3-C-2
ID0134_51;T3-C-2
ID0134_62;T3-C-1
ID0135_66;V1-C-5
ID0135_11;V1-C-2
ID0135_22;V1-C-2
ID0135_31;T4-C-1
ID0135_42;V1-C-5
ID0135_51;V1-C-1
ID0135_62;V1-C-1
ID0135_64;V1-C-1
ID0135_53;V1-C-5
ID0135_44;V1-C-1
ID0135_33;V1-C-2
ID0135_13;ikke_kartlagt
ID0135_24;V1-C-2
ID0135_15;V1-C-2
ID0135_26;V1-C-6
ID0135_35;T4-C-5
ID0135_46;T4-C-5
ID0135_55;V1-C-5
ID0144_33;ikke_kartlagt
ID0144_31;ikke_kartlagt
ID0144_24;ikke_kartlagt
ID0144_22;ikke_kartlagt
ID0144_13;ikke_kartlagt
ID0144_11;ikke_kartlagt
ID0144_26;T4-C-1
ID0144_15;T4-C-9
ID0144_35;T4-C-1
ID0144_42;T3-C-9
ID0144_51;T13-C-5
ID0144_62;T4-C-7
ID0144_53;T3-C-4
ID0144_44;T16-C-1
ID0144_64;T4-C-3
ID0144_55;T4-C-1
ID0144_46;ikke_kartlagt
ID0144_66;T31-C-2
ID0145_22;V2-C-1
ID0145_24;T4-C-2
ID0145_26;T4-C-1
ID0145_35;V2-C-1
ID0145_31;V1-C-5
ID0145_33;T4-C-5
ID0145_53;V1-C-5
ID0145_42;T4-C-19
ID0145_55;T4-C-6
ID0145_64;T4-C-5
ID0145_51;T4-C-5
ID0145_62;T4-C-5
ID0145_11;V1-C-6
ID0145_13;T4-C-1
ID0145_15;T4-C-1
ID0145_44;T4-C-2
ID0145_46;T4-C-2
ID0145_66;T4-C-19
ID0146_51;T1-C-1
ID0146_31;T4-C-1
ID0146_26;T4-C-7
ID0146_33;T4-C-1
ID0146_62;T2-C-1
ID0146_62;T4-C-1
ID0146_64;T4-C-1
ID0146_66;T4-C-5
ID0146_55;T4-C-1
ID0146_53;T2-C-1
ID0146_44;T2-C-1
ID0146_46;T4-C-1
ID0146_35;T4-C-5
ID0146_24;T4-C-1
ID0146_13;T32-C-6
ID0146_11;ikke_kartlagt
ID0146_15;ikke_kartlagt
ID0146_22;ikke_kartlagt
ID0152_15;ikke_kartlagt
ID0152_26;ikke_kartlagt
ID0152_35;ikke_kartlagt
ID0152_46;ikke_kartlagt
ID0152_53;ikke_kartlagt
ID0152_62;V1-C-5
ID0152_24;V1-C-6
ID0152_44;T3-C-1
ID0152_55;T4-C-5
ID0152_66;T4-C-2
ID0152_64;T1-C-2
ID0152_51;V1-C-5
ID0152_31;T1-C-9
ID0152_11;T3-C-2
ID0152_22;T3-C-13
ID0152_42;T3-C-2
ID0152_33;V1-C-5
ID0152_13;T3-C-1
ID0155_24;V1-C-1
ID0155_13;T2-C-1
ID0155_11;T2-C-1
ID0155_22;T2-C-1
ID0155_31;T2-C-2
ID0155_33;T2-C-1
ID0155_44;T2-C-1
ID0155_42;T2-C-1
ID0155_51;T2-C-1
ID0155_62;T2-C-1
ID0155_53;T2-C-1
ID0155_64;T2-C-1
ID0155_66;T2-C-1
ID0155_55;V1-C-1
ID0155_46;T2-C-1
ID0155_26;T2-C-1
ID0155_15;T2-C-1
ID0155_35;ikke_kartlagt
ID0156_35;L4-1
ID0156_64;T7-C-4
ID0156_66;T3-C-3
ID0156_55;T3-C-3
ID0156_46;V1-C-1
ID0156_44;T3-C-3
ID0156_26;T3-C-3
ID0156_24;T3-C-3
ID0156_15;T3-C-3
ID0156_33;T3-C-3
ID0156_62;T3-C-3
ID0156_51;T3-C-3
ID0156_31;T3-C-3
ID0156_53;T3-C-3
ID0156_42;T3-C-3
ID0156_22;T3-C-3
ID0156_11;T3-C-3
ID0156_13;T3-C-3
ID0160_26;T7-C-6
ID0160_66;V1-C-6
ID0160_64;T3-C-4
ID0160_55;T3-C-1
ID0160_44;T3-C-3
ID0160_46;T14-C-2
ID0160_35;T3-C-3
ID0160_15;T14-C-1
ID0160_24;T3-C-14
ID0160_42;T3-C-2
ID0160_22;T3-C-1
ID0160_13;T3-C-1
ID0160_33;T3-C-1
ID0160_53;V4-C-2
ID0160_62;T13-C-1
ID0160_51;T3-C-14
ID0160_31;T14-C-1
ID0160_11;T3-C-2
ID0163_46;T4-C-5
ID0163_11;T4-C-5
ID0163_22;T4-C-1
ID0163_31;T4-C-1
ID0163_33;T4-C-9
ID0163_42;T4-C-1
ID0163_51;T4-C-1
ID0163_15;ikke_kartlagt
ID0163_24;ikke_kartlagt
ID0163_26;ikke_kartlagt
ID0163_35;ikke_kartlagt
ID0163_44;ikke_kartlagt
ID0163_53;ikke_kartlagt
ID0163_55;ikke_kartlagt
ID0163_62;ikke_kartlagt
ID0163_64;ikke_kartlagt
ID0163_13;ikke_kartlagt
ID0163_66;ikke_kartlagt
ID0166_24;V2-C-1
ID0166_13;T4-C-3
ID0166_15;T4-C-2
ID0166_46;T4-C-1
ID0166_11;T12-C-2
ID0166_22;T33-C-2
ID0166_26;ikke_kartlagt
ID0166_66;ikke_kartlagt
ID0166_64;ikke_kartlagt
ID0166_62;ikke_kartlagt
ID0166_51;ikke_kartlagt
ID0166_53;ikke_kartlagt
ID0166_55;ikke_kartlagt
ID0166_44;ikke_kartlagt
ID0166_42;ikke_kartlagt
ID0166_31;ikke_kartlagt
ID0166_33;ikke_kartlagt
ID0166_35;ikke_kartlagt
ID0172_53;T4-C-2
ID0172_62;T4-C-2
ID0172_26;T4-C-2
ID0172_15;T4-C-3
ID0172_24;T4-C-2
ID0172_13;T4-C-1
ID0172_22;T4-C-3
ID0172_11;T32-C-4
ID0172_35;T4-C-3
ID0172_33;T4-C-18
ID0172_42;T4-C-3
ID0172_31;T4-C-1
ID0172_51;T4-C-3
ID0172_44;T4-C-1
ID0172_46;T4-C-2
ID0172_55;T4-C-4
ID0172_64;T4-C-2
ID0172_66;T4-C-3
ID0177_26;T4-C-5
ID0177_15;T4-C-6
ID0177_51;T4-C-6
ID0177_62;T4-C-2
ID0177_53;T4-C-2
ID0177_42;T4-C-6
ID0177_33;T4-C-6
ID0177_31;T31-C-2
ID0177_22;T4-C-6
ID0177_13;T4-C-6
ID0177_11;T4-C-2
ID0177_24;T4-C-6
ID0177_64;T31-C-2
ID0177_66;T4-C-6
ID0177_55;T31-C-2
ID0177_44;T4-C-7
ID0177_46;T4-C-7
ID0177_35;T4-C-5
ID0178_22;T34-C-2
ID0178_62;V3-C-1
ID0178_51;V3-C-1
ID0178_55;T34-C-2
ID0178_66;T34-C-2
ID0178_46;T34-C-2
ID0178_35;T34-C-2
ID0178_24;T34-C-2
ID0178_33;T34-C-2
